0  29 ， 0.997111 
0  1095 １月 0.002889 
2 mai4-xiang4 2 迈向 1.000000 
3 chong1-man3 3 充满 1.000000 
4 xi1-wang4 4 希望 1.000000 
5 de5 5 的 0.953977 
5 de5 51 地 0.038757 
5 de5 464 得 0.007267 
6 xin1 6 新 0.970588 
6 xin1 3085 心 0.029412 
7 shi4-ji4 7 世纪 0.875000 
7 shi4-ji4 1583 事迹 0.125000 
8 pn2 8 — 0.008210 
8 pn2 29 ， 0.952952 
8 pn2 44 ： 0.038838 
9 yi1-jiu3-jiu3-ba1-nian2 9 一九九八年 0.216667 
9 yi1-jiu3-jiu3-ba1-nian2 31 １９９８年 0.783333 
10 xin1-nian2 10 新年 1.000000 
11 jiang3-hua4 11 讲话 1.000000 
12 pn5 12 （ 0.139665 
12 pn5 17 ） 0.139665 
12 pn5 32 《 0.094041 
12 pn5 33 》 0.094041 
12 pn5 110 “ 0.229981 
12 pn5 112 ” 0.226257 
12 pn5 687 ’ 0.021415 
12 pn5 961 『 0.023277 
12 pn5 973 』 0.023277 
12 pn5 1820 ‘ 0.008380 
13 fu4 13 附 0.317073 
13 fu4 1174 副 0.536585 
13 fu4 4739 赴 0.048780 
13 fu4 5485 复 0.024390 
13 fu4 5572 富 0.024390 
13 fu4 6501 负 0.024390 
13 fu4 7483 父 0.024390 
14 tu2-pian4 14 图片 1.000000 
15 yi1 15 １ 0.070922 
15 yi1 742 一 0.918440 
15 yi1 1989 １％ 0.003546 
15 yi1 3640 依 0.003546 
15 yi1 4461 衣 0.003546 
16 zhang1 16 张 1.000000 
17 zhong1-gong4-zhong1-yang1 18 中共中央 1.000000 
18 zong3-shu1-ji4 19 总书记 1.000000 
19 pn3 20 、 1.000000 
20 guo2-jia1 21 国家 1.000000 
21 zhu3-xi2 22 主席 1.000000 
22 jiang1-ze2-min2 23 江泽民 1.000000 
23 yi1-jiu3-jiu3-qi1-nian2 24 一九九七年 0.197368 
23 yi1-jiu3-jiu3-qi1-nian2 76 １９９７年 0.802632 
24 shi2-er4-yve4 25 十二月 1.000000 
25 san1-shi2-yi1-ri4 26 三十一日 1.000000 
26 yi1-er4-yve4 27 １２月 1.000000 
27 san1-yi1-ri4 28 ３１日 1.000000 
28 fa1-biao3 30 发表 1.000000 
29 pn1 34 。 0.916616 
29 pn1 75 ！ 0.017781 
29 pn1 360 ； 0.048437 
29 pn1 1818 ？ 0.012262 
29 pn1 3444 … 0.003679 
29 pn1 5323 · 0.001226 
30 xin1-hua2-she4 35 新华社 1.000000 
31 ji4-zhe3 36 记者 1.000000 
32 lan2-hong2-guang1 37 兰红光 1.000000 
33 she4 38 摄 0.718750 
33 she4 2328 设 0.093750 
33 she4 2643 社 0.062500 
33 she4 4515 ℃ 0.125000 
34 tong2-bao1 39 同胞 1.000000 
35 men5 40 们 1.000000 
36 peng2-you5 41 朋友 1.000000 
37 nv3-shi4 42 女士 1.000000 
38 xian1-sheng1 43 先生 1.000000 
39 zai4 45 在 0.966216 
39 zai4 1128 再 0.032095 
39 zai4 6882 载 0.001689 
40 lai2-lin2 46 来临 1.000000 
41 zhi1-ji4 47 之际 1.000000 
42 wo3 48 我 1.000000 
43 shi2-fen1 49 十分 1.000000 
44 gao1-xing4 50 高兴 1.000000 
45 tong1-guo4 52 通过 1.000000 
46 zhong1-yang1-ren2-min2-guang3-bo1-dian4-tai2 53 中央人民广播电台 1.000000 
47 zhong1-guo2 54 中国 1.000000 
48 guo2-ji4 55 国际 1.000000 
49 guang3-bo1-dian4-tai2 56 广播电台 1.000000 
50 he2 57 和 0.990758 
50 he2 2978 何 0.003697 
50 he2 5356 合 0.001848 
50 he2 6070 河 0.003697 
51 zhong1-yang1-dian4-shi4-tai2 58 中央电视台 1.000000 
52 xiang4 59 向 0.732143 
52 xiang4 399 项 0.169643 
52 xiang4 2798 像 0.089286 
52 xiang4 6695 巷 0.008929 
53 qvan2-guo2 60 全国 1.000000 
54 ge4-zu2 61 各族 1.000000 
55 ren2-min2 62 人民 1.000000 
56 xiang1-gang3-te4-bie2-xing2-zheng4-qv1 63 香港特别行政区 1.000000 
57 ao4-men2 64 澳门 1.000000 
58 tai2-wan1 65 台湾 1.000000 
59 hai3-wai4 66 海外 1.000000 
60 qiao2-bao1 67 侨胞 1.000000 
61 shi4-jie4 68 世界 1.000000 
62 ge4-guo2 69 各国 1.000000 
63 zhi4-yi3 70 致以 1.000000 
64 cheng2-zhi4 71 诚挚 0.800000 
64 cheng2-zhi4 6281 程志 0.200000 
65 wen4-hou4 72 问候 1.000000 
66 liang2-hao3 73 良好 1.000000 
67 zhu4-yvan4 74 祝愿 1.000000 
68 shi4 8 — 0.000055 
68 shi4 34 。 0.002625 
68 shi4 77 是 0.929083 
68 shi4 360 ； 0.002625 
68 shi4 1025 事 0.013123 
68 shi4 1242 市 0.044617 
68 shi4 5049 示 0.002625 
68 shi4 5209 式 0.002625 
68 shi4 5587 势 0.002625 
69 fa1-zhan3 78 发展 1.000000 
70 li4-shi3 79 历史 1.000000 
71 shang4 80 上 1.000000 
72 fei1-chang2 81 非常 1.000000 
73 zhong4-yao4 82 重要 1.000000 
74 hen3 83 很 1.000000 
75 bu4 84 不 0.878261 
75 bu4 1697 步 0.052174 
75 bu4 1926 部 0.069565 
76 ping2-fan2 85 平凡 1.000000 
77 yi1-nian2 86 一年 1.000000 
78 jve2-xin1 87 决心 1.000000 
79 ji4-cheng2 88 继承 1.000000 
80 deng4-xiao3-ping2 89 邓小平 1.000000 
81 tong2-zhi4 90 同志 0.972973 
81 tong2-zhi4 4939 童稚 0.027027 
82 yi2-zhi4 91 遗志 0.200000 
82 yi2-zhi4 521 一致 0.800000 
83 ji4-xv4 92 继续 1.000000 
84 ba3 93 把 1.000000 
85 jian4-she4 94 建设 1.000000 
86 you3 95 有 0.995074 
86 you3 7474 友 0.004926 
87 te4-se4 96 特色 1.000000 
88 she4-hui4-zhu3-yi4 97 社会主义 1.000000 
89 shi4-ye4 98 事业 1.000000 
90 tui1-xiang4 99 推向 1.000000 
91 qian2-jin4 100 前进 1.000000 
92 zhong1-guo2-zheng4-fu3 101 中国政府 1.000000 
93 shun4-li4 102 顺利 1.000000 
94 hui1-fu4 103 恢复 1.000000 
95 dui4 104 对 0.914729 
95 dui4 1581 队 0.054264 
95 dui4 7341 兑 0.031008 
96 xiang1-gang3 105 香港 1.000000 
97 xing2-shi3 106 行使 0.800000 
97 xing2-shi3 6132 行驶 0.200000 
98 zhu3-qvan2 107 主权 1.000000 
99 bing4 108 并 0.966102 
99 bing4 1176 病 0.033898 
100 an4-zhao4 109 按照 1.000000 
101 yi4-guo2-liang3-zhi4 111 一国两制 1.000000 
102 gang3-ren2-zhi4-gang3 113 港人治港 1.000000 
103 gao1-du4 114 高度 1.000000 
104 zi4-zhi4 115 自治 0.625000 
104 zi4-zhi4 3597 自制 0.375000 
105 fang1-zhen1 116 方针 1.000000 
106 bao3-chi2 117 保持 1.000000 
107 fan2-rong2 118 繁荣 1.000000 
108 wen3-ding4 119 稳定 1.000000 
109 zhong1-guo2-gong4-chan3-dang3 120 中国共产党 1.000000 
110 cheng2-gong1 121 成功 1.000000 
111 zhao4-kai1 122 召开 1.000000 
112 le5 123 了 1.000000 
113 di4-shi2-wu3 124 第十五 1.000000 
114 ci4 125 次 1.000000 
115 dai4-biao3-da4-hui4 126 代表大会 1.000000 
116 gao1-jv3 127 高举 1.000000 
117 deng4-xiao3-ping2-li3-lun4 128 邓小平理论 1.000000 
118 wei3-da4 129 伟大 1.000000 
119 qi2-zhi4 130 旗帜 1.000000 
120 zong3-jie2 131 总结 1.000000 
121 bai3-nian2 132 百年 1.000000 
